זרעים	ברכות	א	1	מאימתי קורין את שמע בערבין.  משעה שהכהנים נכנסים לאכול בתרומתן עד סוף האשמורה הראשונה דברי ר' אליעזר.  וחכמים אומרים עד חצות.  רבן גמליאל אומר עד שיעלה עמוד השחר.  מעשה ובאו בניו מבית המשתה אמרו לו לא קרינו את שמע אמר להם אם לא עלה עמוד השחר חייבין אתם לקרות ולא זו בלבד אמרו אלא כל מה שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלים ליום אחד מצותן עד שיעלה עמוד השחר א"כ למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה:
זרעים	ברכות	א	2	מאימתי קורין את שמע בשחרית משיכיר בין תכלת ללבן ר' אליעזר אומר בין תכלת לכרתי <וגומרה> עד הנץ החמה ר' יהושע אומר עד שלש שעות שכן דרך מלכים לעמוד בשלש שעות הקורא מכאן ואילך לא הפסיד כאדם הקורא בתורה:
זרעים	ברכות	א	3	בית שמאי אומרים בערב כל אדם יטה ויקרא ובבקר יעמוד שנאמר (דברים ו) ובשכבך ובקומך ובית הלל אומרים כל אדם קורא כדרכו שנאמר ובלכתך בדרך אם כן למה נאמר ובשכבך ובקומך בשעה שבני אדם שוכבים ובשעה שבני אדם עומדים א"ר טרפון אני הייתי בא בדרך והטתי לקרות כדברי ב"ש וסכנתי בעצמי מפני הלסטים אמרו לו כדי היית לחוב בעצמך שעברת על דברי ב"ה:
זרעים	ברכות	א	4	בשחר מברך שתים לפניה ואחת לאחריה ובערב מברך שתים לפניה ושתים לאחריה אחת ארוכה ואחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי לחתום:
זרעים	ברכות	ב	5	מזכירין יציאת מצרים בלילות א"ר אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנא' (דברים טז) למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכ"א ימי חייך העוה"ז כל להביא לימות המשיח:
זרעים	ברכות	ב	6	היה קורא בתורה והגיע זמן המקרא אם כוון לבו יצא בפרקים שואל מפני הכבוד ומשיב ובאמצע שואל מפני היראה ומשיב דברי ר' מאיר ר' יהודה אומר באמצע שואל מפני היראה ומשיב מפני הכבוד ובפרקים שואל מפני הכבוד ומשיב שלום לכל אדם אלו הן בין הפרקים בין ברכה ראשונה לשניה בין שניה לשמע בין שמע לוהיה אם שמוע בין והיה אם שמוע לויאמר בין ויאמר לאמת ויציב ר' יהודה אומר בין ויאמר לאמת ויציב לא יפסיק אמר ר' יהושע בן קרחה למה קדמה פרשת שמע לוהיה אם שמוע כדי שיקבל עליו עול מלכות שמים תחלה ואחר כך מקבל עליו עול מצות והיה אם שמוע לויאמר שוהיה אם שמוע נוהג בין ביום ובין בלילה ויאמר אינו נוהג אלא ביום בלבד:
זרעים	ברכות	ב	7	הקורא את שמע ולא השמיע לאזנו יצא ר' יוסי אומר לא יצא קרא ולא דקדק באותיותיה ר' יוסי אומר יצא רבי יהודה אומר לא יצא הקורא למפרע לא יצא קרא וטעה יחזור למקום שטעה:
זרעים	ברכות	ב	8	האומנין קורין בראש האילן ובראש הנדבך מה שאינן רשאין לעשות כן בתפלה חתן פטור מק"ש לילה הראשונה ועד מוצאי שבת אם לא עשה מעשה ומעשה בר"ג שנשא אשה וקרא לילה הראשונה אמרו לו תלמידיו למדתנו רבינו שחתן פטור מק"ש אמר להם איני שומע לכם לבטל הימני מלכות שמים אפילו שעה אחת:
זרעים	ברכות	ג	9	רחץ לילה הראשון שמתה אשתו אמרו לו תלמידיו למדתנו רבינו שאבל אסור לרחוץ אמר להם איני כשאר בני אדם אסטניס אני וכשמת טבי עבדו קבל עליו תנחומין אמרו לו תלמידיו למדתנו רבינו שאין מקבלין תנחומין על העבדים אמר להם אין טבי עבדי כשאר כל העבדים כשר היה חתן אם רוצה לקרות קרית שמע לילה הראשון קורא רבן שמעון בן גמליאל אומר לא כל הרוצה ליטול את השם יטול:
זרעים	ברכות	ג	10	מי שמתו מוטל לפניו פטור מק"ש ומן התפלה ומן התפילין ומכל מצות האמורות בתורה נושאי המטה וחלופיהן וחלופי חלופיהן את שלפני המטה ואת שלאחר המטה את שלפני המטה צורך בהם פטורין ואת שלאחר המטה צורך בהם חייבין ואלו ואלו פטורים מן התפלה קברו את המת וחזרו אם יכולין להתחיל ולגמור עד שלא יגיעו לשורה יתחילו ואם לאו לא יתחילו העומדים בשורה הפנימיים פטורים והחיצונים חייבים <נשים ועבדים וקטנים פטורים מק"ש ומן התפילין וחייבין בתפלה ובמזוזה ובברכת המזון>:
